Sector,Yojana Name,Eligibility,Deadline,Benefits
Finance,Pradhan Mantri Matru Vandana Yojana (PMMVY),"Pregnant and lactating mothers, excluding those in regular employment with Central/State Govts or PSUs",Ongoing,"Rs. 5,000 in three installments"
Institutional Support,Swadhar Greh Scheme,"Women in difficult circumstances, such as victims of trafficking or domestic violence",Ongoing,Institutional support for rehabilitation
Education,Beti Bachao Beti Padhao (BBBP),"Girls below 18 years, particularly in districts with low child sex ratio",Ongoing,Promotes girls education and addresses declining child sex ratio
Education,National Scholarship for Girls,Meritorious girls from economically weaker sections,Ongoing,Financial assistance for education
Employment,Working Women Hostel,"Working women, particularly in urban, semi-urban, or rural areas",Ongoing,Safe accommodation with daycare facilities
Employment,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),"Rural youth, including women",Ongoing,Skill training and employment opportunities
Social welfare ,Ujjawala Scheme,Victims of trafficking for commercial sexual exploitation,Ongoing,"Rescue, rehabilitation, and repatriation support"
Social welfare ,Sakhi Scheme,Women in difficult circumstances,Ongoing,One-stop crisis centers for support
Social welfare ,One Stop Centre and Universalization of Women Helplines,Women affected by violence,Ongoing,Integrated services for support
Social welfare ,Mahila Shakti Kendra (MSK),Rural women,Ongoing,Empowerment through community participation
Finance , Gruha Lakshmi Scheme,women who are heads of BPL,Ongoing,"monthly financial assistance of ?2,000 provided to women who are heads of households in Karnataka."
Finance , Indira Gandhi National Old Age Pension Scheme (IGNOAPS). ,Women who are 60-80 year of BPL,Ongoing,"Women aged 60-79 receive ?300 per month, while women aged 80 and above receive ?500 per month "
Health and Nutrition,Pradhan Mantri Matru Vandana Yojana,Pregnant and Lactating Women,Ongoing,Provide financial support to pregnant women.
Transportation and Mobility,Bharat Gaurav Scheme,Women of All Age Groups,Ongoing ,Transportation and mobility programs for women
